"Strategia 1","Strategia 2","p.value","Decyzja"
"removal_max_knn_BORUTA","removal_max_knn_MI",0.179225410997487,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_knn_none",0.0949786642323415,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-frequency_BORUTA",0.289378793769786,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-frequency_MI",0.673930964372237,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-frequency_none",0.295948654515554,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_BORUTA",0.335346238305076,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_MCFS",0.463745656191824,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_MI",0.122000389475095,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_none",0.43857260594165,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_VI",0.550124481865331,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_mice_none",0.212247594039259,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_knn_BORUTA",0.284807147763732,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_knn_MI",0.107181410071748,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_knn_none",0.180209159112838,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-frequency_BORUTA",0.107247410077751,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-frequency_MI",0.059894364609971,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-frequency_none",0.284807147763732,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-other_MCFS",0.0153964986915453,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_none",0.180209159112838,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-other_VI",0.180147753025636,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_mice_none",0.0313498596828558,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_BORUTA",0.424405037859358,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_knn_MI",0.28492031527059,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_knn_none",0.180229625492798,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_median-frequency_MI",0.00705707551073864,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-frequency_none",0.107214410702983,"Nie ma podstaw do odrzucenia H"
