"Strategia 1","Strategia 2","p.value","Decyzja"
"removal_max_knn_BORUTA","removal_max_knn_MI",2.03706718939636e-05,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_knn_none",3.05280019678319e-06,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-frequency_BORUTA",0.946038468325628,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-frequency_MI",0.00178060058329077,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-frequency_none",5.85586834858966e-06,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_BORUTA",0.956847261308518,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_MCFS",8.26694658433237e-05,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_MI",0.655225279642925,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_none",5.88649902552307e-05,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_VI",0.0678165768119861,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_mice_none",1.56859817090591e-06,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_knn_BORUTA",0.336801897428752,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_knn_MI",7.91969378872159e-07,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_knn_none",0.000199155534548783,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_BORUTA",0.261347860251655,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-frequency_MI",0.119803469979917,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-frequency_none",8.58074852143747e-06,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_MCFS",1.41225848164428e-05,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_none",5.15002792367361e-06,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_VI",0.0314931938689348,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_mice_none",1.19537771365392e-06,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_BORUTA",0.448595871385415,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_knn_MI",1.40964115829794e-05,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_none",3.69578041717389e-05,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-frequency_MI",5.88179428114238e-05,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-frequency_none",6.60002167143848e-05,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_BORUTA",0.776298565731042,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_median-other_MCFS",1.2458310815569e-05,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_MI",0.0438209969936156,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_none",6.66038742763421e-06,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_VI",0.0763757445782214,"Nie ma podstaw do odrzucenia H"
