"Strategia 1","Strategia 2","p.value","Decyzja"
"removal_max_knn_BORUTA","removal_max_knn_MI",0.0808749824166511,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_knn_none",0.0496813823721406,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-frequency_BORUTA",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-frequency_MI",6.69091659575903e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-frequency_none",6.71933076588958e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_BORUTA",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_MCFS",6.67203187908951e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_MI",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_none",6.70984774722057e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_VI",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_mice_none",6.67203187908951e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_knn_BORUTA",0.0192074208040147,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_knn_MI",0.0545263356309112,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_knn_none",0.0878294601883483,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-frequency_BORUTA",6.69091659575903e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_MI",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_none",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_MCFS",6.69091659575903e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_none",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_VI",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_mice_none",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_BORUTA",2.17195653976624e-07,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_MI",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_none",6.66260690394675e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-frequency_MI",6.69091659575903e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-frequency_none",6.63440136821449e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_BORUTA",6.69091659575903e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_MCFS",6.69091659575903e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_MI",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_none",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_VI",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_mice_BORUTA",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_mice_MI",6.65319350169531e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_mice_none",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_knn_BORUTA",0.0808749824166511,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_max_knn_none",0.818099158582445,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_max_median-frequency_BORUTA",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-frequency_MI",6.7573794063139e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-frequency_none",6.78603861673865e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-other_BORUTA",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-other_MCFS",6.73833174897126e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-other_MI",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-other_none",6.77647383397646e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-other_VI",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_mice_none",6.73833174897126e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_med_knn_BORUTA",0.490110278820766,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_med_knn_MI",1,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_med_knn_none",0.96761790577085,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_med_median-frequency_BORUTA",6.7573794063139e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_med_median-frequency_MI",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_med_median-frequency_none",6.76692076784542e-08,"Odrzucamy H"
