"Strategia 1","Strategia 2","p.value","Decyzja"
"removal_max_knn_BORUTA","removal_max_knn_MI",0.924363751962169,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_knn_none",0.497708621674694,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-frequency_BORUTA",0.683630772357799,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-frequency_MI",0.785554340785746,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-frequency_none",0.0432675771680977,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_BORUTA",0.050610088657308,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_MCFS",0.242879747569699,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_MI",0.22760089307493,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_none",0.550576507125955,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_VI",0.328652398234473,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_mice_none",0.139525535112998,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_knn_BORUTA",7.78895640936452e-09,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_knn_MI",7.78895640936452e-09,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_knn_none",7.78895640936452e-09,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_BORUTA",7.78895640936452e-09,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_MI",7.78895640936452e-09,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_none",7.78895640936452e-09,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_MCFS",7.78895640936452e-09,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_none",7.78895640936452e-09,"Odrzucamy H"
