"Strategia 1","Strategia 2","p.value","Decyzja"
"removal_max_knn_BORUTA","removal_max_knn_MI",0.498093414483413,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_knn_none",0.956792540881645,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-frequency_BORUTA",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-frequency_MI",6.67203187908951e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-frequency_none",6.73833174897126e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_BORUTA",2.18618340175452e-07,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_MCFS",6.70984774722057e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_MI",2.52355219063418e-07,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_none",2.1976224149574e-07,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_VI",2.18618340175452e-07,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_mice_none",2.19475785624496e-07,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_knn_BORUTA",6.73833174897126e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_knn_MI",6.69091659575903e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_knn_none",6.72882542914542e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_BORUTA",6.72882542914542e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_MI",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_none",6.69091659575903e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_MCFS",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_none",6.70984774722057e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_VI",6.69091659575903e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_mice_none",6.70984774722057e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_BORUTA",6.72882542914542e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_MI",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_none",6.72882542914542e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-frequency_MI",6.73833174897126e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-frequency_none",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_BORUTA",6.71933076588958e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_MCFS",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_MI",6.72882542914542e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_none",6.70984774722057e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_VI",6.55969337158525e-08,"Odrzucamy H"
