"Strategia 1","Strategia 2","p.value","Decyzja"
"removal_max_knn_BORUTA","removal_max_knn_MI",0.0105484200319353,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_knn_none",0.00468891578340505,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-frequency_BORUTA",0.0143363936967144,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-frequency_MI",0.000831479613578163,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-frequency_none",0.00111054273958913,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_BORUTA",0.560722989708704,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_MCFS",0.00101021814865484,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_MI",9.2287770635703e-05,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_none",0.00161868548201883,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_VI",0.714851946268821,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_mice_none",0.163477166899128,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_knn_BORUTA",0.616675512044205,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_knn_MI",6.63392389044103e-06,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_knn_none",0.0410666241493174,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_BORUTA",0.456823914063358,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-frequency_MI",0.0070892857118407,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_none",0.0238701801501221,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_MCFS",0.0497993321676055,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_none",0.0274253398977528,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-other_VI",0.0179063402828087,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_mice_none",0.00510278626372049,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_BORUTA",0.0178794645376183,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_MI",8.24788310344847e-05,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_none",0.694782225782797,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_median-frequency_MI",0.776319006599552,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_median-frequency_none",0.00902598077077405,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_BORUTA",0.674913514521837,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_median-other_MCFS",0.126306078634223,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_median-other_MI",0.285169110149358,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_median-other_none",0.000754845873205883,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_VI",0.22854150904174,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_mice_BORUTA",0.000373326528835181,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_mice_MI",0.000245736127348838,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_mice_none",0.060002490911952,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_max_knn_BORUTA",0.0105484200319353,"Odrzucamy H"
"removal_max_knn_MI","removal_max_knn_none",0.17180902724945,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_max_median-frequency_BORUTA",0.92455508561061,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_max_median-frequency_MI",0.0809177366369749,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_max_median-frequency_none",0.119716633896238,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_max_median-other_BORUTA",0.126323871542886,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_max_median-other_MCFS",0.113449790638507,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_max_median-other_MI",0.00122327982504305,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-other_none",0.155434190876653,"Nie ma podstaw do odrzucenia H"
