"Strategia 1","Strategia 2","p.value","Decyzja"
"removal_max_knn_BORUTA","removal_max_knn_MI",6.63440136821449e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_knn_none",0.208389524658801,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-frequency_BORUTA",0.401631991558985,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-frequency_MI",6.63440136821449e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-frequency_none",0.0133161863129884,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_BORUTA",0.569945463453085,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_MCFS",0.379242495502244,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_MI",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_median-other_none",0.0638797764648123,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_max_median-other_VI",6.71933076588958e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_max_mice_none",0.579182757436835,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_knn_BORUTA",0.481764570421744,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_knn_MI",6.65319350169531e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_knn_none",0.0438704853169907,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_BORUTA",1,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-frequency_MI",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_median-frequency_none",0.735232292560771,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-other_MCFS",0.350634426700754,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-other_none",0.297631429323948,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_med_median-other_VI",6.67203187908951e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_med_mice_none",0.524909140715582,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_knn_BORUTA",0.126412827780987,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_BORUTA","removal_min_knn_MI",6.70984774722057e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_knn_none",0.00603321960058167,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-frequency_MI",6.70984774722057e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-frequency_none",0.00279731821036458,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_BORUTA",0.0079953818890802,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_MCFS",0.000179112745328481,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_MI",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_none",0.0133118572373486,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_median-other_VI",6.73833174897126e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_mice_BORUTA",0.0384694580579237,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_mice_MI",6.71933076588958e-08,"Odrzucamy H"
"removal_max_knn_BORUTA","removal_min_mice_none",0.00603795903419408,"Odrzucamy H"
"removal_max_knn_MI","removal_max_knn_BORUTA",6.63440136821449e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_knn_none",6.60629966710626e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-frequency_BORUTA",6.62502261318312e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-frequency_MI",0.362512578657786,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_max_median-frequency_none",6.62502261318312e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-other_BORUTA",6.63440136821449e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-other_MCFS",6.59695545231669e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-other_MI",0.703715249398242,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_max_median-other_none",6.62502261318312e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_median-other_VI",6.55969337158525e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_max_mice_none",6.61565538343936e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_med_knn_BORUTA",6.61565538343936e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_med_knn_MI",0.967537065583182,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_med_knn_none",6.62502261318312e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_med_median-frequency_BORUTA",6.60629966710626e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_med_median-frequency_MI",0.384378856734213,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_MI","removal_med_median-frequency_none",6.60629966710626e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_med_median-other_MCFS",6.60629966710626e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_med_median-other_none",6.61565538343936e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_med_median-other_VI",6.51337313533499e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_med_mice_none",6.59695545231669e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_knn_BORUTA",6.62502261318312e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_knn_MI",6.55040648684138e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_knn_none",6.60629966710626e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-frequency_MI",6.55040648684138e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-frequency_none",6.62502261318312e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_BORUTA",6.63440136821449e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_MCFS",6.61565538343936e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_MI",6.5876227272129e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_none",6.61565538343936e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_VI",6.57830147994709e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_BORUTA",6.5876227272129e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_MI",6.55969337158525e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_none",6.62502261318312e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_knn_BORUTA",0.208389524658801,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_knn_MI",6.60629966710626e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-frequency_BORUTA",0.49025284893053,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-frequency_MI",6.60629966710626e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-frequency_none",0.588331341543665,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-other_BORUTA",0.133228551825636,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-other_MCFS",0.616476917382264,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-other_MI",6.67203187908951e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-other_none",0.635849486054216,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-other_VI",6.69091659575903e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_mice_none",0.924540962516206,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_med_knn_BORUTA",0.394059976864882,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_med_knn_MI",6.62502261318312e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_knn_none",0.665055746728252,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_med_median-frequency_BORUTA",0.297540754588618,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_med_median-frequency_MI",6.65319350169531e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-frequency_none",0.0958685706588769,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_med_median-other_MCFS",0.735124624012906,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_med_median-other_none",1,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_med_median-other_VI",6.64379166041979e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_mice_none",0.924523297489632,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_min_knn_BORUTA",0.776349657401783,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_min_knn_MI",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_knn_none",0.336779222608231,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_min_median-frequency_MI",6.68146843904868e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-frequency_none",0.155492371259599,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_min_median-other_BORUTA",0.133228551825636,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_min_median-other_MCFS",0.0384694580579237,"Odrzucamy H"
