0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.998,0.998,0.998,0.998,0.999,0.998,0.998,0.998,0.998,0.998,0.998,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.718,0.717,0.717,0.717,0.718,0.718,0.717,0.718,0.717,0.717,0.717,0.718,0.719,0.725,0.722,0.722,0.721,0.72,0.724,0.721,0.717,0.716,0.72,0.719,0.722,0.719,0.719,0.724,0.724,0.724,0.719,0.717,0.721,0.72,0.724
0.992,0.991,0.993,0.992,0.992,0.992,0.992,0.993,0.992,0.992,0.992,0.992,0.994,0.994,0.994,0.995,0.995,0.994,0.995,0.994,0.994,0.995,0.994,0.995,0.994,0.994,0.995,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994
0.926,0.933,0.922,0.927,0.94,0.926,0.921,0.92,0.923,0.919,0.927,0.919,0.923,0.937,0.92,0.923,0.939,0.92,0.919,0.921,0.923,0.92,0.922,0.939,0.919,0.94,0.919,0.926,0.921,0.935,0.916,0.924,0.924,0.941,0.922
0.746,0.778,0.757,0.733,0.742,0.74,0.747,0.757,0.725,0.758,0.737,0.755,0.743,0.743,0.763,0.735,0.719,0.73,0.753,0.753,0.736,0.766,0.754,0.764,0.743,0.71,0.731,0.747,0.749,0.746,0.743,0.739,0.753,0.716,0.755
0.737,0.715,0.748,0.739,0.754,0.748,0.732,0.746,0.735,0.746,0.73,0.737,0.736,0.711,0.748,0.739,0.73,0.745,0.749,0.748,0.721,0.738,0.729,0.713,0.749,0.73,0.743,0.728,0.749,0.732,0.747,0.722,0.732,0.726,0.737
0.863,0.857,0.856,0.863,0.863,0.862,0.849,0.863,0.855,0.859,0.855,0.859,0.861,0.865,0.861,0.862,0.863,0.855,0.855,0.856,0.856,0.856,0.851,0.861,0.859,0.856,0.862,0.861,0.856,0.862,0.848,0.853,0.84,0.862,0.841
0.998,0.99,0.997,0.998,0.99,0.997,0.998,0.998,0.991,0.998,0.992,0.997,0.998,0.99,0.994,0.997,0.99,0.998,0.998,0.998,0.992,0.998,0.998,0.989,0.998,0.989,0.998,0.998,0.998,0.99,0.997,0.99,0.998,0.989,0.998
0.971,0.971,0.971,0.955,0.955,0.955,0.954,0.954,0.955,0.955,0.954,0.954,0.971,0.972,0.972,0.955,0.954,0.954,0.955,0.954,0.955,0.954,0.96,0.953,0.953,0.946,0.946,0.954,0.945,0.946,0.946,0.947,0.95,0.942,0.941
0.967,0.967,0.967,0.967,0.967,0.967,0.968,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.968,0.967,0.967,0.967,0.968,0.968,0.967,0.967,0.967,0.967,0.968,0.967,0.968,0.967,0.966,0.967,0.967,0.967,0.967,0.968
