0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578
0.991,0.991,0.991,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.991,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994
0.93,0.934,0.925,0.92,0.926,0.924,0.92,0.915,0.922,0.915,0.92,0.921,0.925,0.937,0.911,0.927,0.931,0.913,0.921,0.921,0.905,0.926,0.928,0.937,0.923,0.931,0.913,0.924,0.921,0.932,0.921,0.905,0.931,0.936,0.926
0.721,0.774,0.757,0.721,0.684,0.72,0.725,0.739,0.671,0.739,0.706,0.739,0.725,0.704,0.744,0.721,0.694,0.72,0.739,0.739,0.708,0.739,0.729,0.744,0.738,0.679,0.71,0.722,0.728,0.707,0.728,0.703,0.74,0.665,0.73
0.725,0.63,0.728,0.725,0.731,0.728,0.725,0.728,0.705,0.728,0.692,0.728,0.725,0.63,0.728,0.725,0.705,0.728,0.728,0.728,0.692,0.728,0.725,0.63,0.728,0.687,0.728,0.725,0.728,0.705,0.728,0.692,0.725,0.707,0.728
0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837
0.995,0.99,0.994,0.995,0.99,0.994,0.995,0.994,0.99,0.994,0.992,0.994,0.995,0.99,0.994,0.995,0.99,0.994,0.994,0.994,0.992,0.994,0.995,0.989,0.997,0.989,0.997,0.997,0.997,0.989,0.997,0.99,0.997,0.989,0.997
0.968,0.968,0.968,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.952,0.968,0.968,0.968,0.954,0.954,0.954,0.954,0.954,0.954,0.952,0.96,0.953,0.953,0.946,0.946,0.95,0.946,0.946,0.946,0.944,0.95,0.94,0.94
0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
