"V1","V3","V4","Class"
3.6216,-2.8073,-0.44699,1
4.5459,-2.4586,-1.4621,1
3.866,1.9242,0.10645,1
3.4566,-4.0112,-3.5944,1
0.32924,4.5718,-0.9888,1
4.3684,-3.9606,-3.1625,1
3.5912,0.72888,0.56421,1
2.0922,8.4636,-0.60216,1
3.2032,-0.75345,-0.61251,1
1.5356,-2.2718,-0.73535,1
1.2247,-2.2135,-0.80647,1
3.9899,2.3946,0.86291,1
1.8993,0.15394,-3.1108,1
-1.5768,2.5462,-2.9362,1
3.404,-2.9915,-0.57242,1
4.6765,3.4896,1.4771,1
2.6719,0.37158,0.58619,1
0.80355,4.3439,0.6017,1
1.4479,8.3428,-2.1086,1
5.2423,-4.353,-4.1013,1
5.7867,-2.6196,-0.48708,1
0.3292,4.5718,-0.9888,1
3.9362,-3.8235,-4.0172,1
0.93584,-1.6831,-1.6599,1
4.4338,-4.6795,-3.7483,1
0.7057,8.3368,-2.8715,1
1.1432,5.5777,-0.63578,1
-0.38214,2.1624,-3.7405,1
6.5633,-4.4113,-3.2258,1
4.8906,3.4202,1.0905,1
-0.24811,4.9068,0.15429,1
1.4884,3.308,0.48921,1
4.2969,-2.3874,-0.96164,1
-0.96511,1.7305,-4.8629,1
-1.6162,8.1628,0.60817,1
2.4391,-0.80743,-0.69139,1
2.6881,-0.46641,-0.69268,1
3.6289,1.6277,0.77627,1
4.5679,-2.1055,0.29653,1
3.4805,-3.7541,-3.4379,1
4.1711,-3.0224,-0.59699,1
-0.2062,-3.7044,-6.8103,1
-0.006892,-0.41243,-1.9638,1
0.96441,2.3235,0.066365,1
2.8561,-0.79372,0.48403,1
-0.7869,-3.7867,-7.5034,1
2.0843,0.48382,-2.2134,1
-0.7869,-3.7867,-7.5034,1
3.9102,-2.4534,-0.68234,1
1.6349,2.8753,0.087054,1
4.3239,3.4356,-0.5776,1
5.262,-1.5572,1.0103,1
3.1452,-0.51439,-1.4944,1
2.549,-1.1605,-1.2371,1
4.9264,-2.4774,-0.50648,1
4.8265,1.6371,1.1875,1
2.5635,-0.61979,0.38576,1
5.807,-2.2384,0.43878,1
3.1377,4.5701,0.98963,1
-0.78289,-0.37644,-7.0495,1
2.888,4.5907,-0.24398,1
0.49665,1.7785,-0.47156,1
4.2586,-4.0943,-4.3457,1
1.7939,1.5454,-0.26079,1
5.4021,-1.1536,1.5651,1
2.5367,2.0938,0.20085,1
4.6054,2.7587,0.31981,1
2.4235,-3.0789,-2.7746,1
1.0009,-0.28219,-2.6608,1
0.12326,-0.9351,-2.4332,1
3.9529,2.3792,0.48274,1
4.1373,1.093,1.8276,1
4.7181,-3.9486,-3.8582,1
4.1654,3.643,1.0879,1
4.4069,-4.5775,-4.4271,1
2.3066,0.57551,0.41938,1
3.7935,-2.5477,-1.872,1
0.049175,1.7828,-0.72113,1
0.24835,0.9885,-0.87371,1
1.1317,3.3979,0.84351,1
2.8033,-3.3668,-1.0224,1
4.4682,0.95766,0.83058,1
5.0185,-2.9375,-1.281,1
1.8664,-0.23849,-2.9634,1
3.245,-0.63435,0.86937,1
4.0296,0.80685,0.71679,1
-1.1313,7.5339,1.022,1
0.87603,0.84198,-0.17156,1
4.1197,2.0707,0.67412,1
3.8027,2.1041,1.0245,1
1.4806,-2.7876,-1.0341,1
4.0632,0.72545,0.39481,1
4.3064,-2.7824,-1.4336,1
2.4486,7.9632,0.20602,1
3.2718,2.1161,0.61334,1
-0.64472,8.347,-2.7099,1
2.9543,0.64577,0.89394,1
2.1616,8.1517,-0.081048,1
3.82,-4.0112,-5.0284,1
-2.7419,2.5394,-5.5793,1
3.3669,3.6935,-1.1427,1
4.5597,2.6413,1.6168,1
5.1129,0.62863,1.1189,1
3.3397,3.9823,-0.23751,1
4.2027,0.96108,0.97282,1
3.5438,1.997,2.1547,1
2.3136,-3.5288,-4.7672,1
-1.8584,-1.6643,-1.8384,1
3.106,-4.2536,-4.003,1
2.9163,-3.3437,-4.122,1
3.9922,3.7304,-0.1095,1
1.518,0.094818,-0.026738,1
3.2351,-3.2074,-2.5948,1
4.2188,-1.2804,0.76076,1
1.7819,-1.2744,-1.5759,1
2.5331,-0.822,-0.12243,1
3.8969,-1.8245,0.14007,1
2.108,-0.1708,0.4905,1
2.8969,2.29,1.8663,1
0.9297,4.6429,-0.2957,1
3.4642,-3.4071,-4.109,1
4.0713,-4.1722,-4.7582,1
-1.4572,1.7425,-5.1241,1
-1.5075,7.1466,0.89136,1
-0.91718,1.1804,-5.2263,1
2.994,-1.2153,0.3211,1
-2.343,3.3285,-5.9426,1
3.7818,2.2558,-0.15734,1
4.6689,0.055404,1.909,1
3.4663,1.7425,1.3388,1
3.2697,3.6884,-0.29829,1
5.1302,-2.8913,-1.5086,1
2.0139,0.37929,0.56938,1
0.4339,2.033,-0.40432,1
-1.0401,0.85998,-5.3336,1
4.1605,-3.6136,-4.0819,1
5.438,-4.9417,-3.9202,1
5.032,-2.6256,-1.0341,1
5.2418,-4.1174,-4.2797,1
-0.2062,-3.7044,-6.8103,1
2.0911,4.5512,1.234,1
1.7317,4.1905,-0.99138,1
4.1736,-1.4244,0.60429,1
3.9232,3.4579,0.83705,1
3.8481,-3.8561,-4.2228,1
0.5195,3.0895,-0.9849,1
3.8584,1.1033,1.7008,1
1.7496,5.1827,1.2922,1
3.6277,0.68861,0.63403,1
2.7391,0.071684,-2.5302,1
4.5447,-2.4166,-1.5875,1
-1.7599,2.6756,-3.3241,1
5.0691,0.20278,1.2095,1
3.4591,-4.2039,-5.0931,1
1.9358,-0.023425,-2.2586,1
2.486,5.3404,-0.15475,1
2.4226,5.947,0.21507,1
3.9479,2.883,0.019813,1
2.2634,3.6558,-0.61251,1
1.3566,2.1341,0.3211,1
5.0452,-1.4304,0.86291,1
3.5499,-3.2794,-1.2009,1
0.17346,0.26876,-3.7883,1
2.4008,-3.3565,-3.3526,1
4.8851,-0.000291,1.6401,1
4.1927,2.5839,0.21766,1
1.1166,-0.96252,-1.8112,1
1.0235,-2.0062,-2.7125,1
-1.803,2.0458,-5.2728,1
0.11739,-1.5495,-2.4746,1
0.5706,1.2421,-0.5621,1
4.0552,2.2806,1.0323,1
-1.6952,8.8294,0.94955,1
-1.1193,2.0938,-5.6504,1
1.8799,2.4931,0.37671,1
3.583,3.4391,-0.12501,1
0.19081,-3.725,-5.8224,1
