"A2","A3","A5","A6","A7","A8","A9","A10","A11","A13","A14","A15","class"
30.83,0,"g","w","v",1.25,"t","t",1,"g",202,0,1
58.67,4.46,"g","q","h",3.04,"t","t",6,"g",43,560,1
24.5,0.5,"g","q","h",1.5,"t","f",0,"g",280,824,1
27.83,1.54,"g","w","v",3.75,"t","t",5,"g",100,3,1
20.17,5.625,"g","w","v",1.71,"t","f",0,"s",120,0,1
32.08,4,"g","m","v",2.5,"t","f",0,"g",360,0,1
33.17,1.04,"g","r","h",6.5,"t","f",0,"g",164,31285,1
22.92,11.585,"g","cc","v",0.04,"t","f",0,"g",80,1349,1
54.42,0.5,"p","k","h",3.96,"t","f",0,"g",180,314,1
42.5,4.915,"p","w","v",3.165,"t","f",0,"g",52,1442,1
22.08,0.83,"g","c","h",2.165,"f","f",0,"g",128,0,1
29.92,1.835,"g","c","h",4.335,"t","f",0,"g",260,200,1
38.25,6,"g","k","v",1,"t","f",0,"g",0,0,1
48.08,6.04,"g","k","v",0.04,"f","f",0,"g",0,2690,1
45.83,10.5,"g","q","v",5,"t","t",7,"g",0,0,1
36.67,4.415,"p","k","v",0.25,"t","t",10,"g",320,0,1
28.25,0.875,"g","m","v",0.96,"t","t",3,"g",396,0,1
23.25,5.875,"g","q","v",3.17,"t","t",10,"g",120,245,1
21.83,0.25,"g","d","h",0.665,"t","f",0,"g",0,0,1
19.17,8.585,"g","cc","h",0.75,"t","t",7,"g",96,0,1
25,11.25,"g","c","v",2.5,"t","t",17,"g",200,1208,1
23.25,1,"g","c","v",0.835,"t","f",0,"s",300,0,1
47.75,8,"g","c","v",7.875,"t","t",6,"g",0,1260,1
27.42,14.5,"g","x","h",3.085,"t","t",1,"g",120,11,1
41.17,6.5,"g","q","v",0.5,"t","t",3,"g",145,0,1
15.83,0.585,"g","c","h",1.5,"t","t",2,"g",100,0,1
47,13,"g","i","bb",5.165,"t","t",9,"g",0,0,1
56.58,18.5,"g","d","bb",15,"t","t",17,"g",0,0,1
57.42,8.5,"g","e","h",7,"t","t",3,"g",0,0,1
42.08,1.04,"g","w","v",5,"t","t",6,"g",500,10000,1
29.25,14.79,"g","aa","v",5.04,"t","t",5,"g",168,0,1
42,9.79,"g","x","h",7.96,"t","t",8,"g",0,0,1
49.5,7.585,"g","i","bb",7.585,"t","t",15,"g",0,5000,1
