"A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A13","A14","A15","class"
30.83,0,"u","g","w","v",1.25,"t","t",1,"g",202,0,1
58.67,4.46,"u","g","q","h",3.04,"t","t",6,"g",43,560,1
24.5,0.5,"u","g","q","h",1.5,"t","f",0,"g",280,824,1
27.83,1.54,"u","g","w","v",3.75,"t","t",5,"g",100,3,1
20.17,5.625,"u","g","w","v",1.71,"t","f",0,"s",120,0,1
32.08,4,"u","g","m","v",2.5,"t","f",0,"g",360,0,1
33.17,1.04,"u","g","r","h",6.5,"t","f",0,"g",164,31285,1
22.92,11.585,"u","g","cc","v",0.04,"t","f",0,"g",80,1349,1
54.42,0.5,"y","p","k","h",3.96,"t","f",0,"g",180,314,1
42.5,4.915,"y","p","w","v",3.165,"t","f",0,"g",52,1442,1
22.08,0.83,"u","g","c","h",2.165,"f","f",0,"g",128,0,1
29.92,1.835,"u","g","c","h",4.335,"t","f",0,"g",260,200,1
38.25,6,"u","g","k","v",1,"t","f",0,"g",0,0,1
48.08,6.04,"u","g","k","v",0.04,"f","f",0,"g",0,2690,1
45.83,10.5,"u","g","q","v",5,"t","t",7,"g",0,0,1
36.67,4.415,"y","p","k","v",0.25,"t","t",10,"g",320,0,1
28.25,0.875,"u","g","m","v",0.96,"t","t",3,"g",396,0,1
23.25,5.875,"u","g","q","v",3.17,"t","t",10,"g",120,245,1
21.83,0.25,"u","g","d","h",0.665,"t","f",0,"g",0,0,1
19.17,8.585,"u","g","cc","h",0.75,"t","t",7,"g",96,0,1
25,11.25,"u","g","c","v",2.5,"t","t",17,"g",200,1208,1
23.25,1,"u","g","c","v",0.835,"t","f",0,"s",300,0,1
47.75,8,"u","g","c","v",7.875,"t","t",6,"g",0,1260,1
27.42,14.5,"u","g","x","h",3.085,"t","t",1,"g",120,11,1
41.17,6.5,"u","g","q","v",0.5,"t","t",3,"g",145,0,1
15.83,0.585,"u","g","c","h",1.5,"t","t",2,"g",100,0,1
47,13,"u","g","i","bb",5.165,"t","t",9,"g",0,0,1
56.58,18.5,"u","g","d","bb",15,"t","t",17,"g",0,0,1
57.42,8.5,"u","g","e","h",7,"t","t",3,"g",0,0,1
42.08,1.04,"u","g","w","v",5,"t","t",6,"g",500,10000,1
29.25,14.79,"u","g","aa","v",5.04,"t","t",5,"g",168,0,1
42,9.79,"u","g","x","h",7.96,"t","t",8,"g",0,0,1
49.5,7.585,"u","g","i","bb",7.585,"t","t",15,"g",0,5000,1
36.75,5.125,"u","g","e","v",5,"t","f",0,"g",0,4000,1
22.58,10.75,"u","g","q","v",0.415,"t","t",5,"g",0,560,1
27.83,1.5,"u","g","w","v",2,"t","t",11,"g",434,35,1
27.25,1.585,"u","g","cc","h",1.835,"t","t",12,"g",583,713,1
23,11.75,"u","g","x","h",0.5,"t","t",2,"g",300,551,1
27.75,0.585,"y","p","cc","v",0.25,"t","t",2,"g",260,500,1
54.58,9.415,"u","g","ff","ff",14.415,"t","t",11,"g",30,300,1
34.17,9.17,"u","g","c","v",4.5,"t","t",12,"g",0,221,1
28.92,15,"u","g","c","h",5.335,"t","t",11,"g",0,2283,1
29.67,1.415,"u","g","w","h",0.75,"t","t",1,"g",240,100,1
39.58,13.915,"u","g","w","v",8.625,"t","t",6,"g",70,0,1
56.42,28,"y","p","c","v",28.5,"t","t",40,"g",0,15,1
54.33,6.75,"u","g","c","h",2.625,"t","t",11,"g",0,284,1
41,2.04,"y","p","q","h",0.125,"t","t",23,"g",455,1236,1
31.92,4.46,"u","g","cc","h",6.04,"t","t",3,"g",311,300,1
41.5,1.54,"u","g","i","bb",3.5,"f","f",0,"g",216,0,1
23.92,0.665,"u","g","c","v",0.165,"f","f",0,"g",100,0,1
25.75,0.5,"u","g","c","h",0.875,"t","f",0,"g",491,0,1
26,1,"u","g","q","v",1.75,"t","f",0,"g",280,0,1
37.42,2.04,"u","g","w","v",0.04,"t","f",0,"g",400,5800,1
34.92,2.5,"u","g","w","v",0,"t","f",0,"g",239,200,1
34.25,3,"u","g","cc","h",7.415,"t","f",0,"g",0,0,1
23.33,11.625,"y","p","w","v",0.835,"t","f",0,"g",160,300,1
23.17,0,"u","g","cc","v",0.085,"t","f",0,"g",0,0,1
44.33,0.5,"u","g","i","h",5,"t","f",0,"g",320,0,1
35.17,4.5,"u","g","x","h",5.75,"f","f",0,"s",711,0,1
43.25,3,"u","g","q","h",6,"t","t",11,"g",80,0,1
56.75,12.25,"u","g","m","v",1.25,"t","t",4,"g",200,0,1
31.67,16.165,"u","g","d","v",3,"t","t",9,"g",250,730,1
23.42,0.79,"y","p","q","v",1.5,"t","t",2,"g",80,400,1
20.42,0.835,"u","g","q","v",1.585,"t","t",1,"g",0,0,1
26.67,4.25,"u","g","cc","v",4.29,"t","t",1,"g",120,0,1
34.17,1.54,"u","g","cc","v",1.54,"t","t",1,"g",520,50000,1
36,1,"u","g","c","v",2,"t","t",11,"g",0,456,1
25.5,0.375,"u","g","m","v",0.25,"t","t",3,"g",260,15108,1
19.42,6.5,"u","g","w","h",1.46,"t","t",7,"g",80,2954,1
35.17,25.125,"u","g","x","h",1.625,"t","t",1,"g",515,500,1
32.33,7.5,"u","g","e","bb",1.585,"t","f",0,"s",420,0,2
34.83,4,"u","g","d","bb",12.5,"t","f",0,"g",260,0,2
38.58,5,"u","g","cc","v",13.5,"t","f",0,"g",980,0,2
44.25,0.5,"u","g","m","v",10.75,"t","f",0,"s",400,0,2
44.83,7,"y","p","c","v",1.625,"f","f",0,"g",160,2,2
20.67,5.29,"u","g","q","v",0.375,"t","t",1,"g",160,0,2
34.08,6.5,"u","g","aa","v",0.125,"t","f",0,"g",443,0,2
19.17,0.585,"y","p","aa","v",0.585,"t","f",0,"g",160,0,2
21.67,1.165,"y","p","k","v",2.5,"t","t",1,"g",180,20,2
21.5,9.75,"u","g","c","v",0.25,"t","f",0,"g",140,0,2
49.58,19,"u","g","ff","ff",0,"t","t",1,"g",94,0,2
27.67,1.5,"u","g","m","v",2,"t","f",0,"s",368,0,2
39.83,0.5,"u","g","m","v",0.25,"t","f",0,"s",288,0,2
30.29,3.5,"u","g","d","v",3,"t","f",0,"g",300,0,2
27.25,0.625,"u","g","aa","v",0.455,"t","f",0,"g",200,0,2
37.17,4,"u","g","c","bb",5,"t","f",0,"s",280,0,2
25.335,0.375,"u","g","d","v",0.875,"t","f",0,"s",928,0,2
25.67,2.21,"y","p","aa","v",4,"t","f",0,"g",188,0,2
34,4.5,"u","g","aa","v",1,"t","f",0,"g",240,0,2
49,1.5,"u","g","j","j",0,"t","f",0,"g",100,27,2
62.5,12.75,"y","p","c","h",5,"t","f",0,"g",112,0,2
31.42,15.5,"u","g","c","v",0.5,"t","f",0,"g",120,0,2
25.335,5,"y","p","aa","v",8.5,"t","f",0,"g",0,0,2
52.33,1.375,"y","p","c","h",9.46,"t","f",0,"g",200,100,2
28.75,1.5,"y","p","c","v",1.5,"t","f",0,"g",0,225,2
28.58,3.54,"u","g","i","bb",0.5,"t","f",0,"g",171,0,2
23,0.625,"y","p","aa","v",0.125,"t","f",0,"g",180,1,2
27.875,0.5,"u","g","c","bb",0.835,"t","f",0,"s",320,0,2
22.5,11,"y","p","q","v",3,"t","f",0,"g",268,0,2
28.5,1,"u","g","q","v",1,"t","t",2,"g",167,500,2
37.5,1.75,"y","p","c","bb",0.25,"t","f",0,"g",164,400,2
35.25,16.5,"y","p","c","v",4,"t","f",0,"g",80,0,2
18.67,5,"u","g","q","v",0.375,"t","t",2,"g",0,38,2
25,12,"u","g","k","v",2.25,"t","t",2,"g",120,5,2
27.83,4,"y","p","i","h",5.75,"t","t",2,"g",75,0,2
54.83,15.5,"u","g","e","z",0,"t","t",20,"g",152,130,2
28.75,1.165,"u","g","k","v",0.5,"t","f",0,"s",280,0,2
25,11,"y","p","aa","v",4.5,"t","f",0,"g",120,0,2
40.92,2.25,"y","p","x","h",10,"t","f",0,"g",176,0,2
