"A3","A4","A6","A8","A9","A10","A11","A13","A14","A15","class"
0,"u","w",1.25,"t","t",1,"g",202,0,1
4.46,"u","q",3.04,"t","t",6,"g",43,560,1
0.5,"u","q",1.5,"t","f",0,"g",280,824,1
1.54,"u","w",3.75,"t","t",5,"g",100,3,1
5.625,"u","w",1.71,"t","f",0,"s",120,0,1
4,"u","m",2.5,"t","f",0,"g",360,0,1
1.04,"u","r",6.5,"t","f",0,"g",164,31285,1
11.585,"u","cc",0.04,"t","f",0,"g",80,1349,1
0.5,"y","k",3.96,"t","f",0,"g",180,314,1
4.915,"y","w",3.165,"t","f",0,"g",52,1442,1
0.83,"u","c",2.165,"f","f",0,"g",128,0,1
1.835,"u","c",4.335,"t","f",0,"g",260,200,1
6,"u","k",1,"t","f",0,"g",0,0,1
6.04,"u","k",0.04,"f","f",0,"g",0,2690,1
10.5,"u","q",5,"t","t",7,"g",0,0,1
4.415,"y","k",0.25,"t","t",10,"g",320,0,1
0.875,"u","m",0.96,"t","t",3,"g",396,0,1
5.875,"u","q",3.17,"t","t",10,"g",120,245,1
0.25,"u","d",0.665,"t","f",0,"g",0,0,1
8.585,"u","cc",0.75,"t","t",7,"g",96,0,1
11.25,"u","c",2.5,"t","t",17,"g",200,1208,1
1,"u","c",0.835,"t","f",0,"s",300,0,1
8,"u","c",7.875,"t","t",6,"g",0,1260,1
14.5,"u","x",3.085,"t","t",1,"g",120,11,1
6.5,"u","q",0.5,"t","t",3,"g",145,0,1
0.585,"u","c",1.5,"t","t",2,"g",100,0,1
13,"u","i",5.165,"t","t",9,"g",0,0,1
18.5,"u","d",15,"t","t",17,"g",0,0,1
8.5,"u","e",7,"t","t",3,"g",0,0,1
1.04,"u","w",5,"t","t",6,"g",500,10000,1
14.79,"u","aa",5.04,"t","t",5,"g",168,0,1
9.79,"u","x",7.96,"t","t",8,"g",0,0,1
7.585,"u","i",7.585,"t","t",15,"g",0,5000,1
5.125,"u","e",5,"t","f",0,"g",0,4000,1
10.75,"u","q",0.415,"t","t",5,"g",0,560,1
1.5,"u","w",2,"t","t",11,"g",434,35,1
1.585,"u","cc",1.835,"t","t",12,"g",583,713,1
11.75,"u","x",0.5,"t","t",2,"g",300,551,1
0.585,"y","cc",0.25,"t","t",2,"g",260,500,1
9.415,"u","ff",14.415,"t","t",11,"g",30,300,1
9.17,"u","c",4.5,"t","t",12,"g",0,221,1
15,"u","c",5.335,"t","t",11,"g",0,2283,1
1.415,"u","w",0.75,"t","t",1,"g",240,100,1
13.915,"u","w",8.625,"t","t",6,"g",70,0,1
28,"y","c",28.5,"t","t",40,"g",0,15,1
6.75,"u","c",2.625,"t","t",11,"g",0,284,1
2.04,"y","q",0.125,"t","t",23,"g",455,1236,1
4.46,"u","cc",6.04,"t","t",3,"g",311,300,1
1.54,"u","i",3.5,"f","f",0,"g",216,0,1
0.665,"u","c",0.165,"f","f",0,"g",100,0,1
0.5,"u","c",0.875,"t","f",0,"g",491,0,1
1,"u","q",1.75,"t","f",0,"g",280,0,1
2.04,"u","w",0.04,"t","f",0,"g",400,5800,1
2.5,"u","w",0,"t","f",0,"g",239,200,1
3,"u","cc",7.415,"t","f",0,"g",0,0,1
11.625,"y","w",0.835,"t","f",0,"g",160,300,1
0,"u","cc",0.085,"t","f",0,"g",0,0,1
0.5,"u","i",5,"t","f",0,"g",320,0,1
4.5,"u","x",5.75,"f","f",0,"s",711,0,1
3,"u","q",6,"t","t",11,"g",80,0,1
12.25,"u","m",1.25,"t","t",4,"g",200,0,1
16.165,"u","d",3,"t","t",9,"g",250,730,1
0.79,"y","q",1.5,"t","t",2,"g",80,400,1
0.835,"u","q",1.585,"t","t",1,"g",0,0,1
4.25,"u","cc",4.29,"t","t",1,"g",120,0,1
1.54,"u","cc",1.54,"t","t",1,"g",520,50000,1
1,"u","c",2,"t","t",11,"g",0,456,1
0.375,"u","m",0.25,"t","t",3,"g",260,15108,1
6.5,"u","w",1.46,"t","t",7,"g",80,2954,1
25.125,"u","x",1.625,"t","t",1,"g",515,500,1
7.5,"u","e",1.585,"t","f",0,"s",420,0,2
4,"u","d",12.5,"t","f",0,"g",160,0,2
5,"u","cc",13.5,"t","f",0,"g",980,0,2
0.5,"u","m",10.75,"t","f",0,"s",400,0,2
7,"y","c",1.625,"f","f",0,"g",160,2,2
5.29,"u","q",0.375,"t","t",1,"g",160,0,2
6.5,"u","aa",0.125,"t","f",0,"g",443,0,2
0.585,"y","aa",0.585,"t","f",0,"g",160,0,2
1.165,"y","k",2.5,"t","t",1,"g",180,20,2
9.75,"u","c",0.25,"t","f",0,"g",140,0,2
19,"u","ff",0,"t","t",1,"g",94,0,2
1.5,"u","m",2,"t","f",0,"s",368,0,2
0.5,"u","m",0.25,"t","f",0,"s",288,0,2
3.5,"u","d",3,"t","f",0,"g",300,0,2
0.625,"u","aa",0.455,"t","f",0,"g",200,0,2
4,"u","c",5,"t","f",0,"s",280,0,2
0.375,"u","d",0.875,"t","f",0,"s",928,0,2
2.21,"y","aa",4,"t","f",0,"g",188,0,2
4.5,"u","aa",1,"t","f",0,"g",240,0,2
1.5,"u","j",0,"t","f",0,"g",100,27,2
12.75,"y","c",5,"t","f",0,"g",112,0,2
15.5,"u","c",0.5,"t","f",0,"g",120,0,2
5,"y","aa",8.5,"t","f",0,"g",0,0,2
1.375,"y","c",9.46,"t","f",0,"g",200,100,2
1.5,"y","c",1.5,"t","f",0,"g",0,225,2
3.54,"u","i",0.5,"t","f",0,"g",171,0,2
0.625,"y","aa",0.125,"t","f",0,"g",180,1,2
0.5,"u","c",0.835,"t","f",0,"s",320,0,2
11,"y","q",3,"t","f",0,"g",268,0,2
1,"u","q",1,"t","t",2,"g",167,500,2
1.75,"y","c",0.25,"t","f",0,"g",164,400,2
16.5,"y","c",4,"t","f",0,"g",80,0,2
5,"u","q",0.375,"t","t",2,"g",0,38,2
12,"u","k",2.25,"t","t",2,"g",120,5,2
4,"y","i",5.75,"t","t",2,"g",75,0,2
15.5,"u","e",0,"t","t",20,"g",152,130,2
1.165,"u","k",0.5,"t","f",0,"s",280,0,2
11,"y","aa",4.5,"t","f",0,"g",120,0,2
2.25,"y","x",10,"t","f",0,"g",176,0,2
0.75,"u","c",0.795,"t","t",5,"g",140,5,2
3.5,"u","w",3.5,"t","t",3,"g",329,0,2
1.04,"y","ff",0.5,"t","t",3,"g",180,147,2
12.5,"u","w",0.875,"t","f",0,"g",260,0,2
0.75,"u","k",1,"t","t",3,"g",212,0,2
1.25,"y","c",1.375,"t","t",3,"g",140,210,2
1.125,"u","q",1.29,"t","t",2,"g",200,0,2
7,"u","q",11.5,"t","t",7,"g",300,5,2
6.5,"u","k",6.29,"t","t",15,"g",0,11202,1
7.04,"u","m",14,"t","t",6,"g",360,1332,1
10.335,"u","cc",0.335,"t","t",1,"g",80,50,1
6.21,"u","q",0.04,"t","t",1,"g",200,300,1
12.5,"u","cc",1.21,"t","t",67,"g",140,258,1
12.5,"u","aa",1.5,"t","t",12,"g",120,567,1
6.665,"u","q",7.375,"t","t",3,"g",0,0,1
9,"u","q",8.5,"t","t",5,"g",120,0,1
5,"u","x",7.5,"t","t",6,"g",0,1000,1
2.5,"u","m",2.5,"t","t",12,"g",410,2510,1
11,"u","q",2.5,"t","t",7,"g",100,809,1
4.25,"u","i",3.25,"t","t",2,"g",274,610,1
3.5,"u","w",0.835,"t","f",0,"s",280,0,1
5.5,"u","e",13,"t","t",1,"g",0,0,1
1.835,"u","c",2.25,"t","t",1,"g",100,150,1
8,"u","e",6.5,"t","t",6,"g",375,51100,1
5,"u","c",2.5,"t","t",6,"g",0,367,1
5.5,"u","q",5.5,"t","t",12,"g",408,1000,1
6.5,"u","q",6,"t","f",0,"g",350,0,1
0.54,"y","aa",0.5,"t","t",3,"g",200,1000,1
2.75,"u","m",4.25,"t","t",6,"g",204,0,1
9.5,"u","w",1.625,"t","t",6,"g",40,600,1
13.5,"u","q",5,"t","t",2,"g",0,5000,1
3.75,"u","cc",0.625,"t","t",9,"g",181,0,1
16,"u","j",0,"t","t",15,"g",0,247,1
0.29,"y","cc",1.75,"t","t",8,"g",100,375,1
11,"u","w",2,"t","t",1,"g",80,278,1
1.665,"u","cc",5.085,"t","t",9,"g",399,827,1
2.5,"u","cc",2.75,"t","t",6,"g",160,2072,1
1.5,"u","q",2.375,"t","t",3,"g",0,582,1
7.54,"y","q",8,"t","t",14,"g",0,2300,1
6.5,"u","c",4,"t","t",7,"g",0,3065,1
15,"u","c",5.5,"t","t",14,"g",0,2200,1
0.46,"u","cc",0.415,"t","t",11,"g",440,6,1
10,"u","q",4,"t","t",14,"g",0,1602,1
6.5,"u","m",4.25,"t","t",12,"g",93,0,1
2.5,"u","c",1.085,"t","t",11,"g",60,2184,1
1.5,"u","cc",5.5,"t","t",3,"g",0,0,1
11.5,"y","j",0,"t","t",11,"g",0,0,1
3.04,"y","x",2.54,"t","t",1,"g",70,0,1
15,"u","e",0,"t","t",14,"g",0,3376,1
2,"u","k",4.165,"t","t",2,"g",181,0,1
0.08,"y","m",0.04,"t","t",1,"g",280,2000,1
2,"u","x",1,"t","t",4,"g",140,7544,1
2,"u","m",1.75,"t","t",2,"g",0,15,1
1.71,"u","x",1.665,"t","t",1,"g",395,20,1
1.75,"y","e",0.04,"t","f",0,"g",393,0,1
16.5,"u","q",11,"t","f",0,"g",21,10561,1
10,"u","q",1.75,"t","f",0,"g",29,837,1
9.5,"u","q",1,"t","f",0,"g",60,400,1
0.54,"u","cc",0.04,"t","f",0,"g",440,11177,1
3.25,"u","q",9,"t","f",0,"g",102,639,1
1.125,"y","d",1.5,"f","f",0,"g",431,0,1
2.54,"y","aa",0.25,"t","f",0,"g",370,0,1
0,"u","c",15,"t","f",0,"g",0,0,1
12.5,"u","k",8,"t","f",0,"g",24,2028,1
13.585,"u","k",8.5,"t","f",0,"g",0,0,1
10.5,"u","q",1.335,"t","f",0,"g",100,0,1
1.5,"y","w",0.375,"t","f",0,"g",260,1065,1
12.5,"u","aa",3,"t","f",0,"s",20,0,1
8.665,"u","aa",1.415,"t","f",0,"g",160,150,1
9.25,"u","q",1.21,"t","t",4,"g",60,540,1
8.17,"u","aa",1.96,"t","t",14,"g",60,158,1
0.29,"u","c",15,"t","t",20,"g",0,15000,1
2.335,"u","i",0.5,"t","t",4,"s",80,0,1
3,"u","q",0.165,"t","t",3,"g",100,6,1
19.5,"u","c",5.5,"t","t",7,"g",0,3000,1
5.665,"u","q",2.585,"t","t",7,"g",129,3257,1
8.5,"u","c",12.5,"t","t",9,"g",181,1655,1
6.5,"u","aa",3.5,"t","t",1,"g",0,500,1
5,"u","c",5,"t","t",7,"g",0,3065,1
1.04,"u","c",2.5,"t","t",5,"g",300,1430,1
4.625,"u","q",1.625,"t","t",2,"g",0,0,1
10.5,"u","c",3,"t","f",0,"g",0,0,1
