"A3","A4","A5","A6","A8","A9","A10","A11","A14","A15","class"
0,"u","g","w",1.25,"t","t",1,202,0,1
4.46,"u","g","q",3.04,"t","t",6,43,560,1
0.5,"u","g","q",1.5,"t","f",0,280,824,1
1.54,"u","g","w",3.75,"t","t",5,100,3,1
5.625,"u","g","w",1.71,"t","f",0,120,0,1
4,"u","g","m",2.5,"t","f",0,360,0,1
1.04,"u","g","r",6.5,"t","f",0,164,31285,1
11.585,"u","g","cc",0.04,"t","f",0,80,1349,1
0.5,"y","p","k",3.96,"t","f",0,180,314,1
4.915,"y","p","w",3.165,"t","f",0,52,1442,1
0.83,"u","g","c",2.165,"f","f",0,128,0,1
1.835,"u","g","c",4.335,"t","f",0,260,200,1
6,"u","g","k",1,"t","f",0,0,0,1
6.04,"u","g","k",0.04,"f","f",0,0,2690,1
10.5,"u","g","q",5,"t","t",7,0,0,1
4.415,"y","p","k",0.25,"t","t",10,320,0,1
0.875,"u","g","m",0.96,"t","t",3,396,0,1
5.875,"u","g","q",3.17,"t","t",10,120,245,1
0.25,"u","g","d",0.665,"t","f",0,0,0,1
8.585,"u","g","cc",0.75,"t","t",7,96,0,1
11.25,"u","g","c",2.5,"t","t",17,200,1208,1
1,"u","g","c",0.835,"t","f",0,300,0,1
8,"u","g","c",7.875,"t","t",6,0,1260,1
14.5,"u","g","x",3.085,"t","t",1,120,11,1
6.5,"u","g","q",0.5,"t","t",3,145,0,1
0.585,"u","g","c",1.5,"t","t",2,100,0,1
13,"u","g","i",5.165,"t","t",9,0,0,1
18.5,"u","g","d",15,"t","t",17,0,0,1
8.5,"u","g","e",7,"t","t",3,0,0,1
1.04,"u","g","w",5,"t","t",6,500,10000,1
14.79,"u","g","aa",5.04,"t","t",5,168,0,1
9.79,"u","g","x",7.96,"t","t",8,0,0,1
7.585,"u","g","i",7.585,"t","t",15,0,5000,1
5.125,"u","g","e",5,"t","f",0,0,4000,1
10.75,"u","g","q",0.415,"t","t",5,0,560,1
1.5,"u","g","w",2,"t","t",11,434,35,1
1.585,"u","g","cc",1.835,"t","t",12,583,713,1
11.75,"u","g","x",0.5,"t","t",2,300,551,1
0.585,"y","p","cc",0.25,"t","t",2,260,500,1
9.415,"u","g","ff",14.415,"t","t",11,30,300,1
9.17,"u","g","c",4.5,"t","t",12,0,221,1
15,"u","g","c",5.335,"t","t",11,0,2283,1
1.415,"u","g","w",0.75,"t","t",1,240,100,1
13.915,"u","g","w",8.625,"t","t",6,70,0,1
28,"y","p","c",28.5,"t","t",40,0,15,1
6.75,"u","g","c",2.625,"t","t",11,0,284,1
