"checking_status","duration","credit_history","savings_status","employment","personal_status","other_payment_plans","job","foreign_worker","class","ID"
"<0",6,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,1
"0<=X<200",48,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,2
"no checking",12,"critical/other existing credit","<100","4<=X<7","male single","none","unskilled resident","yes",1,3
"<0",42,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,4
"<0",24,"delayed previously","<100","1<=X<4","male single","none","skilled","yes",2,5
"no checking",36,"existing paid","no known savings","1<=X<4","male single","none","unskilled resident","yes",1,6
"no checking",24,"existing paid","500<=X<1000",">=7","male single","none","skilled","yes",1,7
"0<=X<200",16.5,"existing paid","<100","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",1,8
"no checking",12,"existing paid",">=1000","4<=X<7","male div/sep","none","unskilled resident","yes",1,9
"0<=X<200",21,"critical/other existing credit","<100","unemployed","male mar/wid","none","high qualif/self emp/mgmt","yes",2,10
"0<=X<200",12,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,11
"<0",12,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,12
"0<=X<200",12,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,13
"<0",24,"critical/other existing credit","<100",">=7","male single","none","unskilled resident","yes",2,14
"<0",15,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,15
"<0",24,"existing paid","100<=X<500","1<=X<4","female div/dep/mar","none","unskilled resident","yes",2,16
"no checking",24,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,17
"<0",30,"no credits/all paid","no known savings","<1","male single","bank","skilled","yes",1,18
"<0",24,"existing paid","<100",">=7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,19
"no checking",24,"existing paid","500<=X<1000",">=7","male single","none","skilled","yes",1,20
"no checking",9,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,21
"<0",6,"existing paid","500<=X<1000","1<=X<4","male single","none","skilled","yes",1,22
"<0",10,"critical/other existing credit","<100","<1","male single","none","unskilled resident","no",1,23
"0<=X<200",12,"critical/other existing credit","100<=X<500","<1","male single","none","skilled","yes",1,24
