"checking_status","duration","credit_history","purpose","savings_status","employment","property_magnitude","other_payment_plans","foreign_worker","class","static_obvious"
"<0",6,"critical/other existing credit","radio/tv","no known savings",">=7","real estate","none","yes",1,1
"0<=X<200",48,"existing paid","radio/tv","<100","1<=X<4","real estate","other","yes",2,1
"no checking",12,"critical/other existing credit","education","<100","4<=X<7","real estate","none","yes",1,1
"<0",42,"existing paid","furniture/equipment","<100","4<=X<7","life insurance","none","yes",1,1
"<0",24,"delayed previously","new car","<100","1<=X<4","no known property","none","yes",2,1
"no checking",36,"existing paid","education","no known savings","1<=X<4","no known property","none","yes",1,1
"no checking",24,"existing paid","furniture/equipment","500<=X<1000",">=7","life insurance","none","yes",1,1
"0<=X<200",18,"existing paid","used car","<100","1<=X<4","car","none","yes",1,1
"no checking",12,"existing paid","radio/tv",">=1000","4<=X<7","real estate","none","yes",1,1
"0<=X<200",18,"critical/other existing credit","new car","<100","unemployed","car","none","yes",2,1
"0<=X<200",12,"existing paid","new car","<100","<1","car","none","yes",2,1
"<0",18,"existing paid","business","<100","<1","life insurance","none","yes",2,1
"0<=X<200",12,"existing paid","radio/tv","<100","1<=X<4","car","none","yes",1,1
"<0",24,"critical/other existing credit","new car","<100",">=7","car","none","yes",2,1
"<0",15,"existing paid","new car","<100","1<=X<4","car","none","yes",1,1
"<0",24,"existing paid","radio/tv","100<=X<500","1<=X<4","car","other","yes",2,1
"no checking",24,"critical/other existing credit","radio/tv","no known savings",">=7","life insurance","none","yes",1,1
"<0",30,"no credits/all paid","business","no known savings","<1","car","bank","yes",1,1
"other",24,"existing paid","used car","<100",">=7","no known property","none","yes",2,1
"no checking",18,"existing paid","radio/tv","500<=X<1000",">=7","car","none","yes",1,1
"no checking",9,"critical/other existing credit","new car","<100","1<=X<4","car","other","yes",1,1
"<0",6,"existing paid","radio/tv","500<=X<1000","1<=X<4","real estate","none","yes",1,1
"<0",10,"critical/other existing credit","new car","<100","<1","real estate","none","no",1,1
"0<=X<200",12,"critical/other existing credit","used car","100<=X<500","<1","life insurance","none","yes",1,1
"no checking",18,"critical/other existing credit","furniture/equipment","no known savings","1<=X<4","car","none","no",1,1
"<0",6,"existing paid","furniture/equipment","<100","1<=X<4","real estate","other","yes",1,1
"other",18,"no credits/all paid","radio/tv","<100",">=7","car","other","yes",1,1
">=200",12,"all paid","radio/tv",">=1000","1<=X<4","real estate","other","yes",1,1
"0<=X<200",7,"existing paid","radio/tv","<100","1<=X<4","real estate","none","yes",1,1
"<0",60,"delayed previously","business","<100",">=7","no known property","none","yes",2,1
"0<=X<200",18,"existing paid","business",">=1000","<1","real estate","other","yes",1,1
"<0",24,"existing paid","furniture/equipment","<100","1<=X<4","car","stores","yes",1,1
"0<=X<200",18,"existing paid","new car","100<=X<500","1<=X<4","car","none","yes",1,1
"no checking",12,"critical/other existing credit","business","no known savings",">=7","no known property","none","yes",1,1
">=200",12,"existing paid","furniture/equipment","<100","<1","life insurance","other","yes",1,1
"0<=X<200",45,"critical/other existing credit","radio/tv","<100","<1","life insurance","none","yes",2,1
"no checking",48,"critical/other existing credit","education","<100","1<=X<4","no known property","bank","yes",1,1
">=200",18,"existing paid","radio/tv","<100","1<=X<4","real estate","stores","yes",2,1
">=200",10,"existing paid","domestic appliance","<100","1<=X<4","car","none","yes",1,1
"other",9,"existing paid","radio/tv","<100","1<=X<4","real estate","none","yes",1,1
"no checking",30,"existing paid","radio/tv","500<=X<1000",">=7","car","other","yes",1,1
"0<=X<200",12,"existing paid","radio/tv","500<=X<1000","1<=X<4","car","none","yes",1,1
"0<=X<200",18,"delayed previously","repairs","<100","1<=X<4","real estate","none","yes",1,1
"<0",30,"critical/other existing credit","used car","100<=X<500","4<=X<7","car","none","yes",1,1
"<0",48,"critical/other existing credit","used car","<100",">=7","no known property","stores","yes",2,1
"no checking",11,"critical/other existing credit","new car","<100","<1","car","none","yes",1,1
"no checking",36,"existing paid","radio/tv","500<=X<1000",">=7","car","other","yes",1,1
"<0",6,"existing paid","used car","500<=X<1000","unemployed","life insurance","none","yes",1,1
"no checking",11,"critical/other existing credit","new car","<100","1<=X<4","life insurance","none","yes",1,1
"no checking",12,"existing paid","radio/tv","100<=X<500","1<=X<4","real estate","other","yes",1,1
"0<=X<200",24,"delayed previously","furniture/equipment","no known savings","<1","life insurance","bank","yes",1,1
"0<=X<200",27,"delayed previously","used car","<100",">=7","car","none","yes",1,1
"no checking",12,"existing paid","radio/tv","<100","1<=X<4","car","none","yes",1,1
"no checking",18,"existing paid","used car","no known savings","1<=X<4","life insurance","other","yes",1,1
"0<=X<200",36,"delayed previously","new car","<100",">=7","no known property","bank","yes",2,1
"no checking",6,"all paid","new car","no known savings","1<=X<4","real estate","other","yes",1,1
"0<=X<200",12,"existing paid","radio/tv","no known savings","unemployed","no known property","none","yes",2,1
"no checking",36,"critical/other existing credit","radio/tv","<100","1<=X<4","car","other","yes",1,1
">=200",18,"existing paid","new car","<100",">=7","car","none","yes",1,1
"<0",36,"critical/other existing credit","furniture/equipment","<100","<1","no known property","none","yes",2,1
"0<=X<200",9,"existing paid","business","<100","1<=X<4","real estate","bank","yes",1,1
"0<=X<200",15,"critical/other existing credit","radio/tv","no known savings",">=7","real estate","none","yes",1,1
