"checking_status","duration","credit_history","purpose","savings_status","employment","installment_commitment","property_magnitude","age","other_payment_plans","class"
"<0",6,"critical/other existing credit","radio/tv","no known savings",">=7",4,"real estate",67,"none",1
"0<=X<200",48,"existing paid","radio/tv","<100","1<=X<4",2,"real estate",22,"none",2
"no checking",12,"critical/other existing credit","education","<100","4<=X<7",2,"real estate",49,"none",1
"<0",42,"existing paid","furniture/equipment","<100","4<=X<7",2,"life insurance",45,"none",1
"<0",24,"delayed previously","new car","<100","1<=X<4",3,"no known property",53,"none",2
"no checking",36,"existing paid","education","no known savings","1<=X<4",2,"no known property",35,"none",1
"no checking",24,"existing paid","furniture/equipment","500<=X<1000",">=7",3,"life insurance",53,"none",1
"0<=X<200",36,"existing paid","used car","<100","1<=X<4",2,"car",35,"none",1
"no checking",12,"existing paid","radio/tv",">=1000","4<=X<7",2,"real estate",61,"none",1
"0<=X<200",30,"critical/other existing credit","new car","<100","unemployed",4,"car",28,"none",2
"0<=X<200",12,"existing paid","new car","<100","<1",3,"car",25,"none",2
"<0",48,"existing paid","business","<100","<1",3,"life insurance",24,"none",2
"0<=X<200",12,"existing paid","radio/tv","<100","1<=X<4",1,"car",22,"none",1
"<0",24,"critical/other existing credit","new car","<100",">=7",4,"car",60,"none",2
"<0",15,"existing paid","new car","<100","1<=X<4",2,"car",28,"none",1
"<0",24,"existing paid","radio/tv","100<=X<500","1<=X<4",4,"car",32,"none",2
"no checking",24,"critical/other existing credit","radio/tv","no known savings",">=7",4,"life insurance",53,"none",1
"<0",30,"no credits/all paid","business","no known savings","<1",2,"car",25,"bank",1
"0<=X<200",24,"existing paid","used car","<100",">=7",4,"no known property",44,"none",2
"no checking",24,"existing paid","radio/tv","500<=X<1000",">=7",3,"car",31,"none",1
"no checking",9,"critical/other existing credit","new car","<100","1<=X<4",4,"car",48,"none",1
"<0",6,"existing paid","radio/tv","500<=X<1000","1<=X<4",2,"real estate",44,"none",1
"<0",10,"critical/other existing credit","new car","<100","<1",1,"real estate",48,"none",1
"0<=X<200",12,"critical/other existing credit","used car","100<=X<500","<1",3,"life insurance",44,"none",1
"no checking",10,"critical/other existing credit","furniture/equipment","no known savings","1<=X<4",2,"car",26,"none",1
"<0",6,"existing paid","furniture/equipment","<100","1<=X<4",1,"real estate",36,"bank",1
"no checking",6,"no credits/all paid","radio/tv","<100",">=7",4,"car",39,"none",1
">=200",12,"all paid","radio/tv",">=1000","1<=X<4",3,"real estate",42,"none",1
"0<=X<200",7,"existing paid","radio/tv","<100","1<=X<4",3,"real estate",34,"none",1
"<0",60,"delayed previously","business","<100",">=7",3,"no known property",63,"none",2
"0<=X<200",18,"existing paid","business",">=1000","<1",3,"real estate",36,"bank",1
"<0",24,"existing paid","furniture/equipment","<100","1<=X<4",2,"car",27,"stores",1
