"bkblk","bknwy","bkon8","bkona","bkspr","bkxbq","bkxcr","bkxwp","blxwp","bxqsq","cntxt","dwipd","katri","mulch","qxmsq","r2ar8","reskr","rimmx","rkxwp","rxmsq","simpl","skewr","skrxp","stlmt","thrsk","wkcti","wkna8","wknck","wkovl","wkpos","wtoeg","class"
"f","f","f","f","f","f","f","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","f","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","t","f","f","l","n","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","f","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","f","l","n","f","f","t","f","f","f","f","t","t","f","f","t","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","t","f","f","l","n","f","f","t","f","f","t","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","f","t","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","t","f","t","l","n","f","f","t","t","f","t","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","t","f","f","f","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","t","f","f","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","t","f","t","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","t","f","t","l","n","f","f","t","f","f","t","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","t","f","t","l","n","f","f","t","f","f","t","f","t","t","f","f","f","t","f","f","t","t","n",1
