"bkxbq","bkxwp","bxqsq","hdchk","katri","mulch","r2ar8","rimmx","wkna8","wknck","class"
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","b","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","b","f","t","f","f","f",1
