"bkxbq","bkxcr","bkxwp","bxqsq","cntxt","katri","rimmx","wkna8","wknck","wkpos","class"
"f","f","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","f","t",1
"f","t","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","t","f","f","t","n","f","f","f","t",1
"f","t","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","t","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","t","f","f","t","w","f","f","f","t",1
"f","t","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","f",1
"f","f","f","f","t","w","f","f","f","f",1
"f","t","f","f","t","w","f","f","f","f",1
"f","t","f","f","t","w","f","f","f","f",1
"f","t","f","f","t","w","f","f","f","f",1
"f","f","f","f","t","w","f","f","f","f",1
"f","f","f","f","t","w","f","f","f","f",1
"f","f","f","f","t","w","f","f","f","f",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","t","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","f",1
"f","f","f","f","t","n","f","f","f","f",1
"f","f","f","f","t","n","f","f","f","f",1
"f","f","f","f","t","n","f","f","f","f",1
"f","f","f","f","t","b","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","t","f","f","t","b","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","t","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","b","f","f","f","f",1
"f","f","f","f","t","w","f","f","f","f",1
"f","f","f","f","t","b","f","f","f","f",1
"f","f","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","f","t",1
"f","t","f","f","f","n","f","f","f","t",1
"f","t","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","f","t",1
"f","t","f","f","f","n","f","f","f","t",1
"f","t","f","f","f","n","f","f","f","t",1
"f","f","f","f","f","n","f","f","t","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","t","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","t",1
"f","t","f","f","t","n","f","f","f","t",1
"f","f","f","f","t","n","f","f","f","f",1
"f","f","f","f","t","n","f","f","t","f",1
"f","f","f","f","t","n","f","f","f","f",1
"f","f","f","f","t","n","f","f","t","f",1
"f","f","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","t","f","f","t","w","f","f","f","t",1
"f","t","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","t","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","t",1
"f","t","f","f","t","w","f","f","f","t",1
"f","f","f","f","t","w","f","f","f","f",1
"f","f","f","f","t","w","f","f","f","f",1
"f","t","f","f","t","w","f","f","f","f",1
"f","t","f","f","t","w","f","f","f","f",1
"f","f","f","f","t","w","f","f","f","f",1
"f","f","f","f","t","w","f","f","f","f",1
"f","t","t","f","f","n","f","f","f","t",1
"f","t","t","f","f","n","f","f","f","t",1
"f","t","t","f","t","n","f","f","f","t",1
"f","t","t","f","t","n","f","f","f","t",1
"f","t","t","f","t","n","f","f","f","t",1
"f","t","t","f","t","n","f","f","f","t",1
"f","t","t","f","t","w","f","f","f","t",1
"f","t","t","f","t","w","f","f","f","t",1
"f","t","t","f","t","w","f","f","f","t",1
"f","t","t","f","t","w","f","f","f","t",1
"f","t","t","f","t","w","f","f","f","f",1
"f","t","t","f","f","n","f","f","f","t",1
"f","t","t","f","f","n","f","f","f","t",1
"f","t","t","f","t","n","f","f","f","t",1
"f","t","t","f","t","n","f","f","f","t",1
"f","t","t","f","t","w","f","f","f","t",1
"t","f","f","f","f","n","f","f","f","t",1
"t","f","f","f","f","n","f","f","f","t",1
"t","f","f","f","f","n","f","f","f","t",1
"t","f","f","f","f","n","f","f","f","t",1
"t","f","f","f","f","n","f","f","f","t",1
"t","f","f","f","f","n","f","f","f","t",1
"t","t","f","f","f","n","f","f","f","t",1
"t","t","f","f","f","n","f","f","f","t",1
"t","t","f","f","f","n","f","f","f","t",1
"t","f","f","f","f","n","f","f","t","t",1
"t","f","f","f","f","n","f","f","f","t",1
