"V1","V4","V5","Class","duplicate_1","duplicate_2"
0.489927,-0.598693,-0.020418,1,-1.04799,-0.451528
-0.641265,-0.016398,0.240223,1,0.29213,0.109245
0.870593,0.806634,0.835248,1,0.578159,-0.459862
-0.628439,-1.427099,-0.136583,1,1.934295,-0.316284
-0.596399,-1.688448,-0.948127,1,2.043206,0.015938
0.164735,-0.386415,-0.242046,1,-0.980619,-0.642728
2.470804,-0.916224,-0.350777,1,0.787143,-0.707277
-0.487177,-1.366362,-0.671747,1,1.404477,-0.117226
-0.68704,-0.175181,-0.707611,1,-0.141653,0.574784
-0.600961,1.291147,-1.545644,2,-0.31402,-0.764064
-0.583256,0.530062,1.357693,2,0.057808,-0.526313
-0.19083,-1.409384,2.938723,2,0.655799,-0.240767
-0.83164,0.541923,-0.136583,2,-0.456364,-0.802773
-0.3237,-0.786542,-0.38078,2,-1.433166,1.041403
0.6815,1.508866,-0.873693,1,-0.311883,0.320053
-0.334121,-0.786163,-0.349,1,-1.2103,0.82734
-0.827476,-0.684729,-0.742794,1,0.580666,-0.933352
-0.013747,-0.782865,0.142881,1,-1.427127,1.137307
0.256722,-0.964069,-0.427583,2,1.009472,1.189431
-0.585563,-1.284249,0.290301,1,1.320127,0.118363
-0.795701,0.846745,-0.873953,1,1.169343,-0.614227
-0.333088,-0.785612,-0.351059,1,-1.469661,1.553507
-0.777758,1.1073,-1.38102,2,0.74486,-0.72519
-0.333324,-0.197439,-0.309508,1,-0.147134,1.034435
-0.571305,-1.380499,-0.609495,2,1.850701,0.171568
-0.139485,-0.178665,-0.815132,1,-0.102299,1.218113
-0.232812,-0.731492,-0.354226,1,-1.277143,1.15102
-0.824056,1.064803,-0.136583,1,-0.390331,-1.127956
-0.110738,-0.899006,-0.136583,1,0.323056,1.434068
0.989734,-0.212793,-0.378323,1,-0.237133,1.136955
-0.469173,-0.817039,-0.389145,1,-0.009256,0.50567
-0.883593,-0.169275,1.44693,1,-0.697352,-1.214377
-0.381286,-0.107852,-0.391287,1,-1.468248,1.580944
-0.822803,-1.753584,2.855161,2,0.628514,-0.269613
0.573736,0.169403,-0.440998,1,0.117917,1.565716
-0.812631,-0.745461,-1.268767,1,-0.191122,-1.11416
-0.224961,0.015145,1.017055,1,0.001258,1.243845
2.401259,0.096177,-0.332696,1,-0.291392,-0.425955
0.164118,0.898545,1.130628,2,-0.272261,-0.198431
-0.395159,-1.369024,-0.136583,2,1.870173,0.285966
2.988859,-0.598986,-0.232794,1,-0.679191,-1.832716
0.314062,-0.655322,0.019301,1,-1.244567,0.192577
-0.639741,-1.057101,-0.136583,1,0.996116,-0.352328
2.040191,0.846745,-0.366996,1,-0.609479,-1.755186
0.107902,-0.70059,-0.307987,1,-1.311669,1.205423
-0.335367,-0.753286,-0.31537,1,-1.255436,0.99398
-0.807595,0.548498,-0.136583,2,0.032907,-0.83535
0.063828,-0.195148,-0.436784,1,-1.362071,2.081274
-0.532695,0.376524,0.767549,2,0.808365,-0.670115
-0.411545,0.476639,-0.576558,1,1.145646,1.199125
-0.773546,-1.284885,-0.136583,1,-0.29734,-0.875452
-0.591755,-0.119276,-0.332922,1,-0.36948,0.275697
1.040169,0.504708,0.8875,1,-0.420639,0.593419
0.274457,0.061461,-0.381676,1,-0.510209,-0.087028
-0.281776,-0.808659,-0.136583,1,-1.497818,2.455362
-0.643959,0.927884,0.794053,2,0.256785,-0.643103
-0.635433,-1.149799,-0.136583,1,1.084161,0.891731
-0.461169,0.115567,1.785273,1,-1.57895,0.613782
-0.831003,-1.514571,-0.136583,2,-0.474497,-0.781418
2.637794,-0.610595,-0.242117,1,-1.005609,-0.56079
0.000655,-0.145701,-0.467262,1,-0.295023,0.968564
-0.690781,-1.149799,-0.705259,1,1.524918,0.626813
0.318616,-0.892794,2.657375,1,-0.345005,0.508701
-0.098427,0.19748,0.64713,2,0.672396,-0.718572
-1.038974,1.431832,-2.193249,2,-1.307283,-1.772421
-0.641822,0.290601,-0.317424,1,0.24433,1.063658
-0.790018,1.883654,-0.136583,2,0.170056,-0.727319
-0.392413,-1.548729,-1.46076,2,0.724621,-0.401279
0.406,-0.653154,0.052571,1,-1.13836,1.054739
-0.761969,-1.183757,-0.532343,1,1.277293,-0.26818
0.171929,-0.682468,-0.32167,1,-1.141332,1.13491
0.917569,-0.222339,0.146831,1,-1.23777,1.23696
0.043557,-0.041149,-0.136583,1,0.454919,0.723634
-0.65695,1.098361,-0.805723,1,-1.373969,2.216823
-0.305798,-0.807948,-0.402888,1,-1.471387,2.575683
-0.781721,1.59809,-0.136583,1,0.830172,-0.566127
-0.278583,-0.081619,-0.136583,1,0.348385,0.583255
